prime,N_square,N_nonsquare,ratio_square,ratio_nonsquare,below_2p,below_3p_over_2,source
109,78,112,0.7155963303,1.0275229358,true,true,HF job 6a61293dd09dc1f57c6c31f4
113,90,84,0.7964601770,0.7433628319,true,true,HF job 6a61293dd09dc1f57c6c31f4
127,156,116,1.2283464567,0.9133858268,true,true,HF job 6a61293dd09dc1f57c6c31f4
131,110,122,0.8396946565,0.9312977099,true,true,HF job 6a61293dd09dc1f57c6c31f4
211,184,190,0.8720379147,0.9004739336,true,true,HF job 6a612cc1d09dc1f57c6c3244
251,224,222,0.8924302789,0.8844621514,true,true,HF job 6a612cc1d09dc1f57c6c3244
307,282,232,0.9185667752,0.7557003257,true,true,HF job 6a612cc1d09dc1f57c6c3244
