X,M,K,margin,first_order_allowance,J_min,J_min_over_K,log10_HB_mass
100,21.71472410,16,0.0275158853296,0.687658562438,11,0.68750000,3.31132995
300,52.59667621,20,0.0130923529022,0.762446841346,27,1.35000000,8.12780988
1000,144.76482730,26,0.00534552583817,0.826502831484,73,2.80769231,21.97518968
3000,374.70175765,30,0.00221057300044,0.860818437547,188,6.26666667,56.59363918
10000,1085.73620476,36,0.000807193964382,0.888293603885,543,15.08333333,163.45928765
30000,2910.09193538,40,0.000311575602314,0.901487003412,1456,36.40000000,438.29967369
100000,8685.88963807,46,0.000107473062163,0.911538623893,4343,94.41304348,1307.37327117
1000000,72382.41365054,56,0.000013323449689,0.915912882137,36192,646.28571429,10894.87760307
